ID,ID_str,Text,attitude,user or not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1413380942010404864,1413380942010404864,I just like shisha on Thursday..,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1380588321076830209,1380588321076830209,levels gonna be so mf lit tomorrow. #PatronPalooza 🥳 groups of 5 or more get a free bottle of PATRON &amp; Hookah 🔥 .,other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485012435664789515,1485012435664789515,How tf do y’all smoke hookah 😩 I be bout ready to die,negative,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1471324973704744962,1471324973704744962,@_djchevy Getting little homies ready! Can we bring kids to the hookah spot now?,other,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463010595771494405,1463010595771494405,Hookah dont do shit but make me feel light headed. Whats the point,negative,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1426284601379627014,1426284601379627014,Highly recommend Jana is West Springfield!!! Bomb Mediterranean food and smoothies!!! They also have a hookah bar,other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1409682726127497239,1409682726127497239,Who else wanna chip in and buy a whole mountain in Wyoming for the best hookah sesh of all time https://t.co/ysOUKZHqbn,other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617665290090995716,1617665290090995716,"This Friday I’m having a kickback , 2 for 1 Drinks , Free hookah all night .. ladies free before 12 with RSVP.",other,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1404979646442074112,1404979646442074112,@olivermallen Which one wakes you up for hookah?,other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545483862347845633,1545483862347845633,i told my friend she on that hookah bad she tb “ u on that weed bad” welll… you got me 😭😭,neutral,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
