user,I just like shisha on Thursday..
not user,levels gonna be so mf lit tomorrow. #PatronPalooza 🥳 groups of 5 or more get a free bottle of PATRON &amp; Hookah 🔥 .
not user,How tf do y’all smoke hookah 😩 I be bout ready to die
user,@_djchevy Getting little homies ready! Can we bring kids to the hookah spot now?
user,Hookah dont do shit but make me feel light headed. Whats the point
not user,Highly recommend Jana is West Springfield!!! Bomb Mediterranean food and smoothies!!! They also have a hookah bar
not user,Who else wanna chip in and buy a whole mountain in Wyoming for the best hookah sesh of all time https://t.co/ysOUKZHqbn
user,"This Friday I’m having a kickback , 2 for 1 Drinks , Free hookah all night .. ladies free before 12 with RSVP."
not user,@olivermallen Which one wakes you up for hookah?
not user,i told my friend she on that hookah bad she tb “ u on that weed bad” welll… you got me 😭😭
user,Kay is in the back sleep. Didn’t finish the movie or the hookah 😭 I-
user,"@JD3_____ Do it now man, make it a hookah lounge or something smoker friendly then convert that shit"
not user,Men can’t even enjoy hookah in peace. SMH
not user,"@lizyourfav PLS RT🍾🎉 Brunch + Mimosas + Drink Specials + Hookah  #BrunchaholicsAnonymous Reservations/Info: 713.955.8946 
https://t.co/nY8p74rnHa"
not user,.@AfroB_ is joined by @OfficialNiniola and @busiswaah on Amapiano-infused single #Shisha 🎉 https://t.co/slrbZx9h9a https://t.co/ZEREPBUGKx
user,I didn’t flake and I finally got some hookah with my Leo bro!!
user,"I know my neighbors hate me! As soon as it’s nice out, I’m grilling everything! Here I come w my big ass speaker &amp; hookah! 🤣"
user,Nun finna go buy me a new hookah
not user,"Niggas passing the same hooka to ten different ppl and staring at each other? AND there ain’t no bitches in sight?? Nigga I’d leave that sausage fest soooooo quicc😭

-uppers"
not user,@creeshernandez Like the day at the hookah lounge “ Juan I’m sorry I can’t talk right now I’m mad” 😂
user,Going home and hook my hookah up
not user,@RyssaBadAss A hookah bar. It’s dope
user,everybody know imma hookah addict???
user,Play some slow jams &amp; smoke some hookah will always be my vibe
not user,@thagoldenbarbie the whole hookah scene is a scam
not user,Hookah smog alert all night along I-285
not user,What it mean when the dj smoking hookah. ???
not user,did she hit the hookah while you were asleep
not user,@Tae_Sims609 When i walk in to the door ima need you to put the lights on me and put on my them song city girls shisha
not user,@BSOLZ_ Idk how you see this tuff ass Hookah Donic pic and your first thought is to hate
user,wanna smoke some hookah but don’t want to set up my hookah
user,@PiklizPapi I’m already with 2 shot of patron n a hookah already 😜😜 https://t.co/zh1rPn1Gji
user,Got my hookah yeah It’s vibes wherever whenever
user,@PartyMarlyDC @smokejumpersdc Like loud smoke or hookah smoke
user,@SStartender  really has the best HOOKAH in town !!!!! It’s so smooth
not user,#FULLHOUSE every Friday at Venus Nightclub in #Providence #RhodeIsland  Doors at 9pm #FREESHOTS! 📽️📽️🥃🥃#CLUB #NIGHTLIFE #DANCING #HIPHOP #DOMINICAN #PACKED #MOVIE #AMC #TEAMDESACATOO #MUSIC #DJ #FREEDRINKS #COMEEARLY #HOOKAH #PARTY #LIT #GOODVIBES #RESERVENOW https://t.co/LuNsDITDvx
user,I only like hookah when I’m with my friend
not user,@LowKeyUHTN So you don’t need the hookah !
user,Henny &amp; Hookah would be nice tonight.
user,My new hookah is so cute it’s my favorite color 💜💜😊
user,Atlanta im here! Where the Hennessy &amp; Hookah ? 😆
user,"i don’t wanna smoke hookah ina club, bitch i wanna smoke WEED. tf"
not user,"""I LIVE A HEALTHY LIFESTYLE."" 
Hits hookah, then vape, then lights cigarette angrily"
not user,I’m a stop tagging places I go cuz I seriously don’t want yal niggas coming through talking bout “where the hookah &amp; Hennessy at?”🤣
not user,"The party at a hookah lounge in a strip mall was ending when one or more vehicles “pulled up and began to fire into the crowd,"" police said.

https://t.co/EDI7JVOKK4"
user,free my people from the shackles of going to the hookah lounge. i have a fat ass headache after every single time https://t.co/EXdNGuDjrk
not user,"@_yourztrulyz PLS RT🍾🎉 Brunch + Mimosas + Hookah #Valentine #SuperBowl Watch Party #BrunchaholicsAnonymous Reservations/Info: 713.955.8946 
https://t.co/m9I5lfvU0C"
user,Let me get in the tank so I can light this hookah up
user,About to sit out on my patio watch the rain and smoke hookah 😮‍💨
not user,Niggas who wouldnt even think to touch cigarettes cus they're deadly casually smoking hookah in their house
not user,Y’all smoke hookah I smoke weed we are not the same
user,If any of my friends see this I want a hookah for Christmas please and thank you 😊
not user,@Teziaa1 So hookah yo medication?😂
user,In the mood to hookah with a fine dude and blow smoke in his mouth. 💨💨
not user,"@NUyirwoth @AidenKaliisa @Pliam_ @HappySylvia6 @GimonoMaureen @LapeaceDiane @BobiwineU @Naksclaire People think every smoke you inhale causes Cancer, I don’t understand where they get these theories, if that was the case I bet every Jamaican(weed), and Arabian(Shisha) would be suffering from Lung Cancer, ain’t it?"
user,Niggas said all they see on my story everyday is henny and hookah 😂😂
not,"i needa go check out the juicy crab on howell mill 🤣🤣 i heard they got good drinks, hookah and food + you get a lil surprise ghetto entertainment sometimes 😭😭"
user,I must not smoke enough hookah
not user,"Hookah, drugs, alcohol, no exercise"
user,I just be in here smoking my hookah &amp; sippin on a lil dranky drank lol
not user,Hookah is not gender specific 🤦🏽‍♀️🤦🏽‍♀️🙄🙄 some ppl are so annoying.
not user,@FanumTV Rip hookah
not user,@rayessbae The one that serve hookah? Shit ghetto af
not user,"@nomoravng @schwartzjaeger @TernasylLuter @QuaddeBajeena Nah the hookah ain't orbal, the vapes are though"
not user,@SaucySantana_ Shisha getting a music video?
not user,"Females go to another city, post a vid of them smoking hookah and say “[insert city] was vibe.”"
not user,"A THOUSAND PEOPLE ARE DYING EVERY WEEK?!

What’s going on back home man?

Are you lot gonna demand more from this Goverment, or does your Shisha pipe and flippin pint matter more?!

#COVID19 https://t.co/cBle40YuOD"
user,I gotta find other hookah bars on the north cause I’m not going to plush 😂
not user,All you bitches do is beg and smoke hookah and eat crabs 😂
not user,I wonder why I be buzzing off this hookah shit. I got the cbd one 🤣
not user,Hookah don’t do shit but make you gotta go shit lol
user,Let me set this hookah and go chill by the pool with a drink 🤗
user,Where The Shisha?🌬🍃 https://t.co/sWdcpfL6xI
not user,@3baby_p Lmfaooo go to shisha
not user,Does going to a hookah lounge have the same stigma as going to a club?
user,Blunts over hookah every time
user,"Lol yesterday I landed at 2, went to grab food and hookah at 5, but somehow I ain’t make home til 6am"
not user,@SonOfGuido Shisha
user,tired of going out i wish I was laid up  smoking hookah and watching movies.. 🥺🥺🥺🥺🥺🥺
user,I can just taste the hookah 😭😭😭
not user,Need a hookah girl ASAP in Buckhead.
user,i need some coal for my hookah
not user,"GEMINI Happy Hour
4pm-9pm 
CIGARS/Hookahs 
JB ATLANTIC
9624 Forte Meade Road Laurel MD
#hookah #dmvwineevents #dmv #cigar #dmvhookah #dmvcigars #happyhour #gemini #geminiseason #thursdayvibes https://t.co/wU2GxVOCmu"
not user,@Words4rmCharles It is. Hookah ain’t it.
user,I can’t wait to get another hookah.
user,At this point Hookah is all I want
user,I wanna make me a hookah &amp; I am.!
user,might order me a new hookah because lord knows i miss hitting the damn hookah🥹
not user,"@kylebeezy_ PLS RT🍾🎉 Non Stop Brunch + Mimosas + Drink Specials + Hookah + #SunDAYFUNday #BrunchaholicsAnonymous Reservations/Info: 713.955.8946
https://t.co/cWjfaCzmQc"
not user,"#OffTheHOOKahSundays 
This Sun 8/22 Come Check Out The Vibes @blueondelmar 
Doors: 7P-12A 
Ladies FREE Hookah w Booth Reservations 💨 
Text: 314.761.7834 @ Blue Ultra Lounge https://t.co/opAxWNtNL2"
user,@skotterbutt Frolic is definitely still going on tonight in SF! I'm going to sit this month out and stay comfy with some hookah at home. 💨☁️☁️☁️
user,i b high asf off the hookah weed
not user,"@sinsbyken_ Okay, so it’s not just me. I really had to sit and think if I had even heard anybody talk about them 😂 I don’t even smoke hookah, but the aestheticssss"
not user,Bron really called him Hookah 😂😂😂
not user,Why are women so against straight men smoking hookah I’ll never understand it 😂
user,"Took the words right out of my mouth. Give me a hookah, some wine, a few trees 🍃 and some cartoons, i ain’t going Nowhere. https://t.co/4LC9F2jxHY"
not user,Hookah throats “ 🤣
not user,@HughJeffnerr I’ve seen women in jersey actually bring there newborn to the lounge while smoking hookah 1ft away lol. I was so confused how the baby got in cause I got ID’d lol.
user,@SoGorgeousLulu And Ima smoke 💨 my hookah 😒🤣
user,"Step on me, throw me into the hookah"
not user,What yâ€™all doing this weekend? Darty vibes at the crib Saturday . Drinks. Hookah. Section. And UNO. UNO is the ONLY game Iâ€™m interested in playing.
user,Hookah at home ðŸ¥°ðŸ¥°
not user,"Alcohol &amp; hookah don't excite me no more, maybe cause I faced all my demons &amp; I'm not depressed no more!"
user,Coconut coals burn better for hookah
not user,I still donâ€™t know how to smoke hookah...it will never happen sigh
not user,Everything except hookah ðŸ˜‚
not user,Drake such a hookah hoochie
user,"need to find me somewhere to go later when I get off , just want some food and hookah and drinks at a chill spot ."
user,@wash_daddy Bro smh me eitherâ€¦Just lq hookah and vibes ðŸ¥´
user,Yeahhhhh I think Iâ€™m done smoking hookah... Ima still use my personal one for ouid though ðŸ˜…
not user,"Shooting inside Virginia hookah lounge leaves 1 dead, 4 wounded - Raw Story - Celebrating 18 Years of Independent Journalism https://t.co/97zW3FozBe"
